TIME_BIN TIME_MIN TIME TIME_MAX COUNTS STAT_ERR AREA EXPOSURE COUNT_RATE COUNT_RATE_ERR
1.0 295458681.52514 295458683.14566 295458684.76618 0.0 0.0 5023.646171496422 0.0 0.0 0.0
2.0 295458684.76618 295458686.3867 295458688.00722 0.0 0.0 5023.646171496422 0.0 0.0 0.0
3.0 295458688.00722 295458689.62773997 295458691.24825996 0.0 0.0 5023.646171496422 0.0 0.0 0.0
4.0 295458691.24825996 295458692.86877996 295458694.48929995 0.0 0.0 5023.646171496422 0.0 0.0 0.0
5.0 295458694.4893 295458696.10982 295458697.73034 0.0 0.0 5023.646171496422 0.0 0.0 0.0
6.0 295458697.73034 295458699.35086 295458700.97138 0.0 0.0 5023.646171496422 0.0 0.0 0.0
7.0 295458700.97138 295458702.5919 295458704.21242 0.0 0.0 5023.646171496422 0.0 0.0 0.0
8.0 295458704.21242 295458705.83294 295458707.45346 0.0 0.0 5023.646171496422 0.0 0.0 0.0
9.0 295458707.45346 295458709.07398 295458710.69449997 0.0 0.0 5023.646171496422 0.0 0.0 0.0
10.0 295458710.69449997 295458712.31501997 295458713.93553996 0.0 0.0 5023.646171496422 0.0 0.0 0.0
11.0 295458713.93553996 295458715.55605996 295458717.17657995 0.0 0.0 5023.646171496422 0.0 0.0 0.0
12.0 295458717.17658 295458718.7971 295458720.41762 0.0 0.0 5023.646171496422 0.0 0.0 0.0
13.0 295458720.41762 295458722.03814 295458723.65866 0.0 0.0 5023.646171496422 0.0 0.0 0.0
14.0 295458723.65866 295458725.27918 295458726.8997 0.0 0.0 5023.646171496422 0.0 0.0 0.0
15.0 295458726.8997 295458728.52022 295458730.14074 0.0 0.0 5023.646171496422 0.0 0.0 0.0
16.0 295458730.14074 295458731.76126 295458733.38177997 0.0 0.0 5023.646171496422 0.0 0.0 0.0
17.0 295458733.38177997 295458735.00229996 295458736.62281996 0.0 0.0 5023.646171496422 0.0 0.0 0.0
18.0 295458736.62281996 295458738.24333996 295458739.86385995 0.0 0.0 5023.646171496422 0.0 0.0 0.0
19.0 295458739.86386 295458741.48438 295458743.1049 0.0 0.0 5023.646171496422 0.0 0.0 0.0
20.0 295458743.1049 295458744.72542 295458746.34594 0.0 0.0 5023.646171496422 0.0 0.0 0.0
21.0 295458746.34594 295458747.96646 295458749.58698 0.0 0.0 5023.646171496422 0.0 0.0 0.0
22.0 295458749.58698 295458751.2075 295458752.82802 0.0 0.0 5023.646171496422 0.0 0.0 0.0
23.0 295458752.82802 295458754.44854 295458756.06905997 0.0 0.0 5023.646171496422 0.0 0.0 0.0
24.0 295458756.06905997 295458757.68957996 295458759.31009996 0.0 0.0 5023.646171496422 0.0 0.0 0.0
25.0 295458759.31009996 295458760.93061996 295458762.55113995 0.0 0.0 5023.646171496422 0.0 0.0 0.0
26.0 295458762.55114 295458764.17166 295458765.79218 0.0 0.0 5023.646171496422 0.0 0.0 0.0
27.0 295458765.79218 295458767.4127 295458769.03322 0.0 0.0 5023.646171496422 0.0 0.0 0.0
