TIME_BIN TIME_MIN TIME TIME_MAX COUNTS STAT_ERR AREA EXPOSURE COUNT_RATE COUNT_RATE_ERR
1.0 721805595.80679 721805597.42731 721805599.04783 0.0 0.0 9308.77974642902 0.0 0.0 0.0
2.0 721805599.04783 721805600.66835 721805602.28887 0.0 0.0 9308.77974642902 0.0 0.0 0.0
3.0 721805602.28887 721805603.90939 721805605.52991 0.0 0.0 9308.77974642902 0.0 0.0 0.0
4.0 721805605.52991 721805607.15043 721805608.77095 0.0 0.0 9308.77974642902 0.0 0.0 0.0
5.0 721805608.77095 721805610.39147 721805612.01199 0.0 0.0 9308.77974642902 0.0 0.0 0.0
6.0 721805612.01199 721805613.63251 721805615.25303 0.0 0.0 9308.77974642902 0.0 0.0 0.0
7.0 721805615.25303 721805616.8735499 721805618.4940699 0.0 0.0 9308.77974642902 0.0 0.0 0.0
8.0 721805618.49407 721805620.11459 721805621.73511 0.0 0.0 9308.77974642902 0.0 0.0 0.0
9.0 721805621.73511 721805623.35563 721805624.97615 0.0 0.0 9308.77974642902 0.0 0.0 0.0
10.0 721805624.97615 721805626.59667 721805628.21719 0.0 0.0 9308.77974642902 0.0 0.0 0.0
11.0 721805628.21719 721805629.83771 721805631.45823 0.0 0.0 9308.77974642902 0.0 0.0 0.0
12.0 721805631.45823 721805633.07875 721805634.69927 0.0 0.0 9308.77974642902 0.0 0.0 0.0
13.0 721805634.69927 721805636.31979 721805637.94031 0.0 0.0 9308.77974642902 0.0 0.0 0.0
14.0 721805637.94031 721805639.56083 721805641.18135 0.0 0.0 9308.77974642902 0.0 0.0 0.0
15.0 721805641.18135 721805642.80187 721805644.42239 0.0 0.0 9308.77974642902 0.0 0.0 0.0
16.0 721805644.42239 721805646.04291 721805647.66343 0.0 0.0 9308.77974642902 0.0 0.0 0.0
17.0 721805647.66343 721805649.28395 721805650.90447 0.0 0.0 9308.77974642902 0.0 0.0 0.0
18.0 721805650.90447 721805652.52499 721805654.14551 0.0 0.0 9308.77974642902 0.0 0.0 0.0
19.0 721805654.14551 721805655.76603 721805657.38655 0.0 0.0 9308.77974642902 0.0 0.0 0.0
20.0 721805657.38655 721805659.00707 721805660.62759 0.0 0.0 9308.77974642902 0.0 0.0 0.0
21.0 721805660.62759 721805662.2481099 721805663.8686299 0.0 0.0 9308.77974642902 0.0 0.0 0.0
22.0 721805663.86863 721805665.48915 721805667.10967 0.0 0.0 9308.77974642902 0.0 0.0 0.0
23.0 721805667.10967 721805668.73019 721805670.35071 0.0 0.0 9308.77974642902 0.0 0.0 0.0
24.0 721805670.35071 721805671.97123 721805673.59175 0.0 0.0 9308.77974642902 0.0 0.0 0.0
25.0 721805673.59175 721805675.21227 721805676.83279 0.0 0.0 9308.77974642902 0.0 0.0 0.0
26.0 721805676.83279 721805678.45331 721805680.07383 0.0 0.0 9308.77974642902 0.0 0.0 0.0
27.0 721805680.07383 721805681.69435 721805683.31487 0.0 0.0 9308.77974642902 0.0 0.0 0.0
28.0 721805683.31487 721805684.93539 721805686.55591 0.0 0.0 9308.77974642902 0.0 0.0 0.0
29.0 721805686.55591 721805688.17643 721805689.79695 0.0 0.0 9308.77974642902 0.0 0.0 0.0
30.0 721805689.79695 721805691.41747 721805693.03799 0.0 0.0 9308.77974642902 0.0 0.0 0.0
31.0 721805693.03799 721805694.65851 721805696.27903 0.0 0.0 9308.77974642902 0.0 0.0 0.0
32.0 721805696.27903 721805697.89955 721805699.52007 0.0 0.0 9308.77974642902 0.0 0.0 0.0
33.0 721805699.52007 721805701.14059 721805702.76111 0.0 0.0 9308.77974642902 0.0 0.0 0.0
34.0 721805702.76111 721805704.38163 721805706.0021499 0.0 0.0 9308.77974642902 0.0 0.0 0.0
35.0 721805706.0021499 721805707.6226699 721805709.2431899 0.0 0.0 9308.77974642902 0.0 0.0 0.0
36.0 721805709.24319 721805710.86371 721805712.48423 0.0 0.0 9308.77974642902 0.0 0.0 0.0
37.0 721805712.48423 721805714.10475 721805715.72527 0.0 0.0 9308.77974642902 0.0 0.0 0.0
38.0 721805715.72527 721805717.34579 721805718.96631 0.0 0.0 9308.77974642902 0.0 0.0 0.0
39.0 721805718.96631 721805720.58683 721805722.20735 0.0 0.0 9308.77974642902 0.0 0.0 0.0
