TIME_BIN TIME_MIN TIME TIME_MAX COUNTS STAT_ERR AREA EXPOSURE COUNT_RATE COUNT_RATE_ERR
1.0 54333647.089523 54333648.710043 54333650.330563 0.0 0.0 3544.910566214285 0.0 0.0 0.0
2.0 54333650.330563 54333651.951083004 54333653.571603 0.0 0.0 3544.910566214285 0.0 0.0 0.0
3.0 54333653.571603 54333655.192122996 54333656.812643 0.0 0.0 3544.910566214285 0.0 0.0 0.0
4.0 54333656.812643 54333658.433163 54333660.053683 0.0 0.0 3544.910566214285 0.0 0.0 0.0
5.0 54333660.053683005 54333661.67420301 54333663.294723004 0.0 0.0 3544.910566214285 0.0 0.0 0.0
6.0 54333663.294723004 54333664.915243 54333666.535763 0.0 0.0 3544.910566214285 0.0 0.0 0.0
7.0 54333666.535763 54333668.156283006 54333669.776803 0.0 0.0 3544.910566214285 0.0 0.0 0.0
8.0 54333669.776803 54333671.397323 54333673.017843 0.0 0.0 3544.910566214285 0.0 0.0 0.0
9.0 54333673.017843 54333674.638363004 54333676.258883 0.0 0.0 3544.910566214285 0.0 0.0 0.0
10.0 54333676.258883 54333677.879402995 54333679.499923 0.0 0.0 3544.910566214285 0.0 0.0 0.0
11.0 54333679.499923006 54333681.120443 54333682.740963005 0.0 0.0 3544.910566214285 0.0 0.0 0.0
12.0 54333682.740963005 54333684.36148301 54333685.982003 0.0 0.0 3544.910566214285 0.0 0.0 0.0
13.0 54333685.982003 54333687.602523 54333689.223043 0.0 0.0 3544.910566214285 0.0 0.0 0.0
14.0 54333689.223043 54333690.843563005 54333692.464083 0.0 0.0 3544.910566214285 0.0 0.0 0.0
15.0 54333692.464083 54333694.084603 54333695.705123 0.0 0.0 3544.910566214285 0.0 0.0 0.0
16.0 54333695.705123 54333697.325643 54333698.946163 0.0 0.0 3544.910566214285 0.0 0.0 0.0
17.0 54333698.946163006 54333700.56668301 54333702.187203005 0.0 0.0 3544.910566214285 0.0 0.0 0.0
18.0 54333702.187203005 54333703.807723 54333705.428243004 0.0 0.0 3544.910566214285 0.0 0.0 0.0
19.0 54333705.428243004 54333707.04876301 54333708.669283 0.0 0.0 3544.910566214285 0.0 0.0 0.0
20.0 54333708.669283 54333710.289803 54333711.910323 0.0 0.0 3544.910566214285 0.0 0.0 0.0
21.0 54333711.910323 54333713.530843005 54333715.151363 0.0 0.0 3544.910566214285 0.0 0.0 0.0
22.0 54333715.151363 54333716.771882996 54333718.392403 0.0 0.0 3544.910566214285 0.0 0.0 0.0
23.0 54333718.392403 54333720.012923 54333721.633443 0.0 0.0 3544.910566214285 0.0 0.0 0.0
24.0 54333721.633443005 54333723.25396301 54333724.874483004 0.0 0.0 3544.910566214285 0.0 0.0 0.0
