TIME_BIN TIME_MIN TIME TIME_MAX COUNTS STAT_ERR AREA EXPOSURE COUNT_RATE COUNT_RATE_ERR
1.0 327812042.41222 327812044.03274 327812045.65326 0.0 0.0 446.40005945777295 0.0 0.0 0.0
2.0 327812045.65326 327812047.27378 327812048.8943 0.0 0.0 446.40005945777295 0.0 0.0 0.0
3.0 327812048.8943 327812050.51482 327812052.13534 0.0 0.0 446.40005945777295 0.0 0.0 0.0
4.0 327812052.13534 327812053.75586 327812055.37637997 0.0 0.0 446.40005945777295 0.0 0.0 0.0
5.0 327812055.37638 327812056.9969 327812058.61742 0.0 0.0 446.40005945777295 0.0 0.0 0.0
6.0 327812058.61742 327812060.23794 327812061.85846 0.0 0.0 446.40005945777295 0.0 0.0 0.0
7.0 327812061.85846 327812063.47898 327812065.0995 0.0 0.0 446.40005945777295 0.0 0.0 0.0
8.0 327812065.0995 327812066.72002 327812068.34054 0.0 0.0 446.40005945777295 0.0 0.0 0.0
9.0 327812068.34054 327812069.96106 327812071.58158 0.0 0.0 446.40005945777295 0.0 0.0 0.0
10.0 327812071.58158 327812073.2021 327812074.82262 0.0 0.0 446.40005945777295 0.0 0.0 0.0
11.0 327812074.82262 327812076.44314 327812078.06365997 0.0 0.0 446.40005945777295 0.0 0.0 0.0
12.0 327812078.06366 327812079.68418 327812081.3047 0.0 0.0 446.40005945777295 0.0 0.0 0.0
13.0 327812081.3047 327812082.92522 327812084.54574 0.0 0.0 446.40005945777295 0.0 0.0 0.0
14.0 327812084.54574 327812086.16626 327812087.78678 0.0 0.0 446.40005945777295 0.0 0.0 0.0
15.0 327812087.78678 327812089.4073 327812091.02782 0.0 0.0 446.40005945777295 0.0 0.0 0.0
16.0 327812091.02782 327812092.64834 327812094.26886 0.0 0.0 446.40005945777295 0.0 0.0 0.0
17.0 327812094.26886 327812095.88938 327812097.5099 0.0 0.0 446.40005945777295 0.0 0.0 0.0
18.0 327812097.5099 327812099.13041997 327812100.75093997 0.0 0.0 446.40005945777295 0.0 0.0 0.0
19.0 327812100.75094 327812102.37146 327812103.99198 0.0 0.0 446.40005945777295 0.0 0.0 0.0
20.0 327812103.99198 327812105.6125 327812107.23302 0.0 0.0 446.40005945777295 0.0 0.0 0.0
21.0 327812107.23302 327812108.85354 327812110.47406 0.0 0.0 446.40005945777295 0.0 0.0 0.0
22.0 327812110.47406 327812112.09458 327812113.7151 0.0 0.0 446.40005945777295 0.0 0.0 0.0
23.0 327812113.7151 327812115.33562 327812116.95614 0.0 0.0 446.40005945777295 0.0 0.0 0.0
24.0 327812116.95614 327812118.57666 327812120.19718 0.0 0.0 446.40005945777295 0.0 0.0 0.0
25.0 327812120.19718 327812121.81769997 327812123.43821996 0.0 0.0 446.40005945777295 0.0 0.0 0.0
26.0 327812123.43822 327812125.05874 327812126.67926 0.0 0.0 446.40005945777295 0.0 0.0 0.0
27.0 327812126.67926 327812128.29978 327812129.9203 0.0 0.0 446.40005945777295 0.0 0.0 0.0
28.0 327812129.9203 327812131.54082 327812133.16134 0.0 0.0 446.40005945777295 0.0 0.0 0.0
29.0 327812133.16134 327812134.78186 327812136.40238 0.0 0.0 446.40005945777295 0.0 0.0 0.0
30.0 327812136.40238 327812138.0229 327812139.64342 0.0 0.0 446.40005945777295 0.0 0.0 0.0
31.0 327812139.64342 327812141.26394 327812142.88446 0.0 0.0 446.40005945777295 0.0 0.0 0.0
32.0 327812142.88446 327812144.50497997 327812146.12549996 0.0 0.0 446.40005945777295 0.0 0.0 0.0
33.0 327812146.1255 327812147.74602 327812149.36654 0.0 0.0 446.40005945777295 0.0 0.0 0.0
34.0 327812149.36654 327812150.98706 327812152.60758 0.0 0.0 446.40005945777295 0.0 0.0 0.0
35.0 327812152.60758 327812154.2281 327812155.84862 0.0 0.0 446.40005945777295 0.0 0.0 0.0
36.0 327812155.84862 327812157.46914 327812159.08966 0.0 0.0 446.40005945777295 0.0 0.0 0.0
37.0 327812159.08966 327812160.71018 327812162.3307 0.0 0.0 446.40005945777295 0.0 0.0 0.0
38.0 327812162.3307 327812163.95122 327812165.57174 0.0 0.0 446.40005945777295 0.0 0.0 0.0
39.0 327812165.57174 327812167.19225997 327812168.81277996 0.0 0.0 446.40005945777295 0.0 0.0 0.0
40.0 327812168.81278 327812170.4333 327812172.05382 0.0 0.0 446.40005945777295 0.0 0.0 0.0
41.0 327812172.05382 327812173.67434 327812175.29486 0.0 0.0 446.40005945777295 0.0 0.0 0.0
