TIME_BIN TIME_MIN TIME TIME_MAX COUNTS STAT_ERR AREA EXPOSURE COUNT_RATE COUNT_RATE_ERR
1.0 467781345.03976 467781346.66028 467781348.2808 0.0 0.0 134.8978906692418 0.0 0.0 0.0
2.0 467781348.2808 467781349.90132 467781351.52184 0.0 0.0 134.8978906692418 0.0 0.0 0.0
3.0 467781351.52184 467781353.14236 467781354.76287997 0.0 0.0 134.8978906692418 0.0 0.0 0.0
4.0 467781354.76287997 467781356.38339996 467781358.00391996 0.0 0.0 134.8978906692418 0.0 0.0 0.0
5.0 467781358.00392 467781359.62444 467781361.24496 0.0 0.0 134.8978906692418 0.0 0.0 0.0
6.0 467781361.24496 467781362.86548 467781364.486 0.0 0.0 134.8978906692418 0.0 0.0 0.0
7.0 467781364.486 467781366.10652 467781367.72704 0.0 0.0 134.8978906692418 0.0 0.0 0.0
8.0 467781367.72704 467781369.34756 467781370.96808 0.0 0.0 134.8978906692418 0.0 0.0 0.0
9.0 467781370.96808 467781372.5886 467781374.20912 0.0 0.0 134.8978906692418 0.0 0.0 0.0
10.0 467781374.20912 467781375.82964 467781377.45015997 0.0 0.0 134.8978906692418 0.0 0.0 0.0
11.0 467781377.45015997 467781379.07067996 467781380.69119996 0.0 0.0 134.8978906692418 0.0 0.0 0.0
12.0 467781380.6912 467781382.31172 467781383.93224 0.0 0.0 134.8978906692418 0.0 0.0 0.0
13.0 467781383.93224 467781385.55276 467781387.17328 0.0 0.0 134.8978906692418 0.0 0.0 0.0
14.0 467781387.17328 467781388.7938 467781390.41432 0.0 0.0 134.8978906692418 0.0 0.0 0.0
15.0 467781390.41432 467781392.03484 467781393.65536 0.0 0.0 134.8978906692418 0.0 0.0 0.0
16.0 467781393.65536 467781395.27588 467781396.8964 0.0 0.0 134.8978906692418 0.0 0.0 0.0
17.0 467781396.8964 467781398.51692 467781400.13743997 0.0 0.0 134.8978906692418 0.0 0.0 0.0
18.0 467781400.13743997 467781401.75795996 467781403.37847996 0.0 0.0 134.8978906692418 0.0 0.0 0.0
19.0 467781403.37848 467781404.999 467781406.61952 0.0 0.0 134.8978906692418 0.0 0.0 0.0
20.0 467781406.61952 467781408.24004 467781409.86056 0.0 0.0 134.8978906692418 0.0 0.0 0.0
21.0 467781409.86056 467781411.48108 467781413.1016 0.0 0.0 134.8978906692418 0.0 0.0 0.0
22.0 467781413.1016 467781414.72212 467781416.34264 0.0 0.0 134.8978906692418 0.0 0.0 0.0
23.0 467781416.34264 467781417.96316 467781419.58368 0.0 0.0 134.8978906692418 0.0 0.0 0.0
24.0 467781419.58368 467781421.20419997 467781422.82471997 0.0 0.0 134.8978906692418 0.0 0.0 0.0
25.0 467781422.82471997 467781424.44523996 467781426.06575996 0.0 0.0 134.8978906692418 0.0 0.0 0.0
26.0 467781426.06576 467781427.68628 467781429.3068 0.0 0.0 134.8978906692418 0.0 0.0 0.0
27.0 467781429.3068 467781430.92732 467781432.54784 0.0 0.0 134.8978906692418 0.0 0.0 0.0
28.0 467781432.54784 467781434.16836 467781435.78888 0.0 0.0 134.8978906692418 0.0 0.0 0.0
29.0 467781435.78888 467781437.4094 467781439.02992 0.0 0.0 134.8978906692418 0.0 0.0 0.0
30.0 467781439.02992 467781440.65044 467781442.27096 0.0 0.0 134.8978906692418 0.0 0.0 0.0
31.0 467781442.27096 467781443.89147997 467781445.51199996 0.0 0.0 134.8978906692418 0.0 0.0 0.0
32.0 467781445.51199996 467781447.13251996 467781448.75303996 0.0 0.0 134.8978906692418 0.0 0.0 0.0
33.0 467781448.75304 467781450.37356 467781451.99408 0.0 0.0 134.8978906692418 0.0 0.0 0.0
34.0 467781451.99408 467781453.6146 467781455.23512 0.0 0.0 134.8978906692418 0.0 0.0 0.0
